id,from_site,stream,dist_km
,bc,NOOSESECK RIVER,16.376
,BC,KIMSQUIT RIVER,108.845
,BC,NECLEEYSCONNAY RIVER,0.521
,BC,WORAN CREEK,53.961
,BC,SKOWQUILTZ RIVER,68.433
,BC,GRANTHAM CREEK,102.294
,BC,DEAN RIVER,98.755
,BC,ELCHO CREEK,72.083
,BC,FRENCHMAN CREEK,75.828
,BC,MARTIN RIVER,105.059
,BC,QUANTLENA RIVER,83.825
,BC,KWATNA RIVER,72.195
,BC,HOOK NOSE CREEK,112.398
,BC,SAGAR CREEK,113.618
,BC,EVANS INLET CREEK #3,118.948
,MC,HOOK NOSE CREEK,30.810
,MC,SAGAR CREEK,10.936
,MC,EVANS INLET CREEK #3,37.359
,MC,MARTIN RIVER,57.547
,MC,KWATNA RIVER,101.226
,MC,QUATLENA RIVER,112.856
,MC,ELCHO CREEK,78.989
,MC,FRENCHMAN CREEK,64.380
,MC,WORAN CREEK,89.602
,MC,SKOWQUILTZ RIVER,110.990
,MC,KIMSQUIT RIVER,151.402
,MC,GRANTHAM CREEK,144.851
,MC,DEAN RIVER,141.312
,MC,NECLEETSCONNAY RIVER,137.999
,MC,NOOSESECK RIVER,124.697
