Return Year,Region,Population,Run Timing,Hatchery Facility,Program Type,Conservation Unit ID,Conservation Unit Name,CU Acronym,DU #,Proposed DU Name,Proposed DU Short Name,JAZ Acronym,PNI Estimate Type (CWT),pHOS (CWT),pNOB (CWT),"PNI (CWT, incl. jacks)",Annual Biological Designation (CWT),PNI Calculation Description,CWT comments,PNI Estimate Type (Thermal),pHOS (Thermal),pNOB (Thermal),PNI (Thermal),Annual Biological Designation (Thermal),PNI Calculation Description,Thermal Mark Comments,pHOS (PBT),pNOB (PBT),PNI (PBT),PBT Comments,pHOS (biostandards w/o jacks),PNI (biostandards w/o jacks),pHOS (biostandards w/ jacks),PNI (biostandards w/ jacks),General Comments,Complete Cohort Years (CWT),Complete Cohort Years (Thermal),Years when the Proportion of the Release has > 5% Unassociated Tags (only applies to CWTs)
2016,SBC,Shovelnose Creek,Fall,Tenderfoot,OPS,CK-020,Southern Mainland-Georgia Strait_FA_0.x,SMn-GStr,DU18,BC South Coast - Georgia Strait Ocean Fall,SC+GStr/Ocean/Fall,SC+GStr,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,2014-2017
2017,SBC,Shovelnose Creek,Fall,Tenderfoot,OPS,CK-020,Southern Mainland-Georgia Strait_FA_0.x,SMn-GStr,DU18,BC South Coast - Georgia Strait Ocean Fall,SC+GStr/Ocean/Fall,SC+GStr,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,"Low production. 2018 release target of 30,000.",,,2014-2017
2018,SBC,Shovelnose Creek,Fall,Tenderfoot,OPS,CK-020,Southern Mainland-Georgia Strait_FA_0.x,SMn-GStr,DU18,BC South Coast - Georgia Strait Ocean Fall,SC+GStr/Ocean/Fall,SC+GStr,Partial Direct,0.36,0.64,0.64,Integrated - Transition,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Only pNOB estimate available. pHOS assumed to be equal to 1 minus pNOB.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,2014-2017
1987,SBC,Shuswap River - middle,Summer,Spius,OPS,CK-015,Shuswap River_SU_0.3,STh-SHUR,DU12,BC South Thompson Ocean Summer,STh+GStr/Ocean/Summer,STh+GStr,Partial Direct,0.23,0.77,0.77,Integrated - Wild,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Only pNOB estimate available. pHOS was assumed to be equal to 1 minus pNOB.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1990-2018,,"1992, 1994-1996, 1998, 2000-2008, 2010-2011, 2013-2015, 2017"
1988,SBC,Shuswap River - middle,Summer,Spius,OPS,CK-015,Shuswap River_SU_0.3,STh-SHUR,DU12,BC South Thompson Ocean Summer,STh+GStr/Ocean/Summer,STh+GStr,Direct,0.12,0.88,0.88,Integrated - Wild,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1990-2018,,"1992, 1994-1996, 1998, 2000-2008, 2010-2011, 2013-2015, 2017"
1989,SBC,Shuswap River - middle,Summer,Spius,OPS,CK-015,Shuswap River_SU_0.3,STh-SHUR,DU12,BC South Thompson Ocean Summer,STh+GStr/Ocean/Summer,STh+GStr,Direct,0.52,0.48,0.48,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1990-2018,,"1992, 1994-1996, 1998, 2000-2008, 2010-2011, 2013-2015, 2017"
1990,SBC,Shuswap River - middle,Summer,Spius,OPS,CK-015,Shuswap River_SU_0.3,STh-SHUR,DU12,BC South Thompson Ocean Summer,STh+GStr/Ocean/Summer,STh+GStr,Direct,0.53,0.47,0.47,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1990-2018,,"1992, 1994-1996, 1998, 2000-2008, 2010-2011, 2013-2015, 2017"
1991,SBC,Shuswap River - middle,Summer,Spius,OPS,CK-015,Shuswap River_SU_0.3,STh-SHUR,DU12,BC South Thompson Ocean Summer,STh+GStr/Ocean/Summer,STh+GStr,Direct,0.66,0.34,0.34,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1990-2018,,"1992, 1994-1996, 1998, 2000-2008, 2010-2011, 2013-2015, 2017"
1992,SBC,Shuswap River - middle,Summer,Spius,OPS,CK-015,Shuswap River_SU_0.3,STh-SHUR,DU12,BC South Thompson Ocean Summer,STh+GStr/Ocean/Summer,STh+GStr,Direct,0.49,0.51,0.51,Integrated - Transition,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1990-2018,,"1992, 1994-1996, 1998, 2000-2008, 2010-2011, 2013-2015, 2017"
1993,SBC,Shuswap River - middle,Summer,Spius,OPS,CK-015,Shuswap River_SU_0.3,STh-SHUR,DU12,BC South Thompson Ocean Summer,STh+GStr/Ocean/Summer,STh+GStr,Direct,0.54,0.46,0.46,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1990-2018,,"1992, 1994-1996, 1998, 2000-2008, 2010-2011, 2013-2015, 2017"
