"","Year","Region","Population","phos.cwt","pnob.cwt","pni.cwt","phos.thermal","pnob.thermal","pni.thermal"
"1",2016,"SBC","Shovelnose Creek",NA,NA,NA,NA,NA,NA
"2",2017,"SBC","Shovelnose Creek",NA,NA,NA,NA,NA,NA
"3",2018,"SBC","Shovelnose Creek",0.36,0.64,0.64,NA,NA,NA
"4",1987,"SBC","Shuswap River - middle",0.23,0.77,0.77,NA,NA,NA
"5",1988,"SBC","Shuswap River - middle",0.12,0.88,0.88,NA,NA,NA
"6",1989,"SBC","Shuswap River - middle",0.52,0.48,0.48,NA,NA,NA
"7",1990,"SBC","Shuswap River - middle",0.53,0.47,0.47,NA,NA,NA
"8",1991,"SBC","Shuswap River - middle",0.66,0.34,0.34,NA,NA,NA
"9",1992,"SBC","Shuswap River - middle",0.49,0.51,0.51,NA,NA,NA
"10",1993,"SBC","Shuswap River - middle",0.54,0.46,0.46,NA,NA,NA
"11",1994,"SBC","Shuswap River - middle",0.49,0.51,0.51,NA,NA,NA
"12",1995,"SBC","Shuswap River - middle",0.77,0.23,0.23,NA,NA,NA
"13",1996,"SBC","Shuswap River - middle",1,0,0,NA,NA,NA
"14",1997,"SBC","Shuswap River - middle",0.82,0.18,0.18,NA,NA,NA
"15",1998,"SBC","Shuswap River - middle",0.36,0.64,0.64,NA,NA,NA
"16",1999,"SBC","Shuswap River - middle",0.74,0.26,0.26,NA,NA,NA
"17",2000,"SBC","Shuswap River - middle",0.78,0.22,0.22,NA,NA,NA
"18",2001,"SBC","Shuswap River - middle",0.91,0.09,0.09,NA,NA,NA
"19",2002,"SBC","Shuswap River - middle",0.83,0.17,0.17,NA,NA,NA
"20",2003,"SBC","Shuswap River - middle",0.56,0.44,0.44,NA,NA,NA
"21",2010,"SBC","Cheakamus River",0.17,0,0,NA,NA,NA
"22",2016,"SBC","Cheakamus River",1,0,0,NA,NA,NA
"23",1991,"SBC","Chemainus River - fall",1,0,0,NA,NA,NA
"24",1991,"SBC","Mamquam River",0.76,0,0,NA,NA,NA
"25",2004,"SBC","Shuswap River - middle",0.79,0.21,0.21,NA,NA,NA
"26",2005,"SBC","Shuswap River - middle",0.66,0.34,0.34,NA,NA,NA
"27",2002,"SBC","Nanaimo River - summer",0.99,0.01,0.01,NA,NA,NA
"28",1994,"SBC","Chemainus River - fall",0.95,0.05,0.05,NA,NA,NA
"29",1992,"SBC","Chemainus River - fall",0.92,0.08,0.08,NA,NA,NA
"30",2006,"SBC","Shuswap River - middle",0.02,0.98,0.98,NA,NA,NA
"31",2000,"SBC","Maria Slough",0.89,0.1,0.101010101,NA,NA,NA
"32",2009,"SBC","Shuswap River - middle",0.01,0.99,0.99,NA,NA,NA
"33",2010,"SBC","Shuswap River - middle",0.01,0.99,0.99,NA,NA,NA
"34",1990,"SBC","Cheakamus River",0.57,0.1,0.149253731,NA,NA,NA
"35",1992,"SBC","Mamquam River",0.85,0.15,0.15,NA,NA,NA
"36",2011,"SBC","Shuswap River - middle",0.14,0.86,0.86,NA,NA,NA
"37",2012,"SBC","Shuswap River - middle",0.57,0.43,0.43,NA,NA,NA
"38",1994,"SBC","Nanaimo River - fall",0.76,0.17,0.182795699,NA,NA,NA
"39",1983,"SBC","Nanaimo River - fall",0.81,0.19,0.19,NA,NA,NA
"40",1995,"SBC","Chemainus River - fall",0.8,0.2,0.2,NA,NA,NA
"41",1999,"SBC","Coldwater River",0.79,0.21,0.21,NA,NA,NA
"42",2013,"SBC","Shuswap River - middle",0.44,0.56,0.56,NA,NA,NA
"43",1995,"Other","Salloomt River",0.78,0.22,0.22,NA,NA,NA
"44",2014,"SBC","Shuswap River - middle",0.23,0.77,0.77,NA,NA,NA
"45",2015,"SBC","Shuswap River - middle",0.16,0.84,0.84,NA,NA,NA
"46",2016,"SBC","Shuswap River - middle",0.45,0.55,0.55,NA,NA,NA
"47",1991,"SBC","Nanaimo River - fall",0.69,0.21,0.233333333,NA,NA,NA
"48",1991,"SBC","Nicola River",0.76,0.24,0.24,NA,NA,NA
"49",2017,"SBC","Shuswap River - middle",0.36,0.64,0.64,NA,NA,NA
"50",1991,"SBC","Cheakamus River",0.73,0.27,0.27,NA,NA,NA
"51",1990,"SBC","Mamquam River",0.73,0.27,0.27,NA,NA,NA
"52",2003,"SBC","Nanaimo River - summer",0.73,0.27,0.27,NA,NA,NA
"53",1996,"Other","Salloomt River",0.73,0.27,0.27,NA,NA,NA
"54",1997,"SBC","Nanaimo River - fall",0.55,0.25,0.3125,NA,NA,NA
"55",2002,"SBC","Coldwater River",0.68,0.32,0.32,NA,NA,NA
"56",2018,"SBC","Mamquam River",0.68,0.32,0.32,NA,NA,NA
"57",2003,"SBC","Nanaimo River - fall",0.65,0.32,0.329896907,NA,NA,NA
"58",1999,"SBC","Nicola River",0.54,0.27,0.333333333,NA,NA,NA
"59",2018,"SBC","Shuswap River - middle",0.05,0.95,0.95,NA,NA,NA
"60",1998,"SBC","Nanaimo River - fall",0.55,0.3,0.352941176,NA,NA,NA
"61",1993,"SBC","Nanaimo River - fall",0.5,0.28,0.358974359,NA,NA,NA
"62",1993,"SBC","Coldwater River",0.64,0.36,0.36,NA,NA,NA
"63",2018,"SBC","Ashlu Creek",0.62,0.38,0.38,NA,NA,NA
"64",1994,"SBC","Nicola River",0.61,0.41,0.401960784,NA,NA,NA
"65",2009,"SBC","Cheakamus River",0.58,0.42,0.42,NA,NA,NA
"66",1992,"SBC","Nanaimo River - fall",0.55,0.4,0.421052632,NA,NA,NA
"67",1989,"SBC","Cheakamus River",0.38,0.28,0.424242424,NA,NA,NA
"68",2002,"SBC","Nanaimo River - fall",0.59,0.44,0.427184466,NA,NA,NA
"69",2009,"Other","Bulkley River - upper (spring)",0.57,0.43,0.43,NA,NA,NA
"70",2017,"SBC","Cheakamus River",0.56,0.44,0.44,NA,NA,NA
"71",1995,"SBC","Nanaimo River - fall",0.57,0.46,0.446601942,NA,NA,NA
"72",2018,"SBC","Cheakamus River",0.55,0.45,0.45,NA,NA,NA
"73",2003,"SBC","Maria Slough",1,0.82,0.450549451,NA,NA,NA
"74",1983,"SBC","Cheakamus River",0.54,0.46,0.46,NA,NA,NA
"75",1992,"SBC","Cheakamus River",0.64,0.55,0.462184874,NA,NA,NA
"76",2013,"SBC","Sooke River",NA,NA,NA,NA,NA,NA
"77",2017,"SBC","Nicola River",0.51,0.48,0.484848485,NA,NA,NA
"78",1995,"Other","Bulkley River - upper (spring)",0.49,0.5,0.505050505,NA,NA,NA
"79",1995,"SBC","Nicola River",0.56,0.62,0.525423729,NA,NA,NA
"80",1992,"SBC","Ashlu Creek",0.55,0.64,0.537815126,NA,NA,NA
