"","BROOD_YEAR","RELEASE_YEAR","STOCK_NAME","FACILITY_NAME","RELEASE_STAGE_NAME","RELEASE_SITE_NAME","REL_CU_NAME","REL_CU_INDEX","TotalRelease","SPECIES_NAME","STOCK_PROD_AREA_CODE","MRP_TAGCODE","STOCK_CU_NAME","STOCK_CU_INDEX","stocksite"
"1",1986,1987,"Ashlu Cr","Tenderfoot Creek H","Smolt 0+","Tenderfoot Lk","","",115408,"Chinook","GSMN","24309","SOUTHERN MAINLAND-GEORGIA STRAIT_FA_0.x","CK-20","Tenderfoot Lk:Ashlu Cr"
"2",1991,1992,"Ashlu Cr","Porteau Cove Seapen","Seapen 0+","Porteau Cv","SOUTHERN MAINLAND-GEORGIA STRAIT_FA_0.x","CK-20",19716,"Chinook","GSMN","180153","SOUTHERN MAINLAND-GEORGIA STRAIT_FA_0.x","CK-20","Porteau Cv:Ashlu Cr"
"3",1982,1983,"Atnarko R Low","Snootli Creek H","Fed Fry","Saloompt R","BELLA COOLA-BENTINCK","CK-39",6700,"Chinook","CCST","NOCN8213","BELLA COOLA-BENTINCK","CK-39","Saloompt R:Atnarko R Low"
"4",1983,1984,"Atnarko R Low","Snootli Creek H","Fed Fry","Saloompt R","BELLA COOLA-BENTINCK","CK-39",6581,"Chinook","CCST","NOCN8310","BELLA COOLA-BENTINCK","CK-39","Saloompt R:Atnarko R Low"
"5",1984,1985,"Atnarko R Low","Snootli Creek H","Fed Fall","Saloompt R","BELLA COOLA-BENTINCK","CK-39",6534,"Chinook","CCST","RV8410","BELLA COOLA-BENTINCK","CK-39","Saloompt R:Atnarko R Low"
"6",2008,2009,"Bedwell R","Tofino H","Smolt 0+","Bedwell R","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",23647,"Chinook","SWVI","180686","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31","Bedwell R:Bedwell R"
"7",2009,2010,"Bedwell R","Tofino H","Smolt 0+","Bedwell R","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",11620,"Chinook","SWVI","186113","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31","Bedwell R:Bedwell R"
"8",2010,2011,"Bedwell R","Tofino H","Smolt 0+","Bedwell R","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",13910,"Chinook","SWVI","186138","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31","Bedwell R:Bedwell R"
"9",2011,2012,"Bedwell R","Tofino H","Smolt 0+","Bedwell R","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",4333,"Chinook","SWVI","180569","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31","Bedwell R:Bedwell R"
"10",2011,2012,"Bedwell R","Tofino H","Smolt 0+","Bedwell R","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",4333,"Chinook","SWVI","180570","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31","Bedwell R:Bedwell R"
"11",2011,2012,"Bedwell R","Tofino H","Smolt 0+","Bedwell R","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",4333,"Chinook","SWVI","180571","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31","Bedwell R:Bedwell R"
"12",2012,2013,"Bedwell R","Tofino H","Smolt 0+","Bedwell R","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",5304,"Chinook","SWVI","180572","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31","Bedwell R:Bedwell R"
"13",2012,2013,"Bedwell R","Tofino H","Smolt 0+","Bedwell R","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",10628,"Chinook","SWVI","180597","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31","Bedwell R:Bedwell R"
"14",2012,2013,"Bedwell R","Tofino H","Smolt 0+","Bedwell R","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",10628,"Chinook","SWVI","180598","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31","Bedwell R:Bedwell R"
"15",2015,2016,"Bedwell R","Tofino H","Smolt 0+","Bedwell R","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",11642,"Chinook","SWVI","184098","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31","Bedwell R:Bedwell R"
"16",2015,2016,"Bedwell R","Tofino H","Smolt 0+","Bedwell R","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",23598,"Chinook","SWVI","184099","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31","Bedwell R:Bedwell R"
"17",2016,2017,"Bedwell R","Tofino H","Smolt 0+","Bedwell R","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",9751,"Chinook","SWVI","184768","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31","Bedwell R:Bedwell R"
"18",2017,2018,"Bedwell R","Tofino H","Smolt 0+","Bedwell R","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",5326,"Chinook","SWVI","185596","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31","Bedwell R:Bedwell R"
"19",2017,2018,"Bedwell R","Tofino H","Smolt 0+","Bedwell R","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",7394,"Chinook","SWVI","185598","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31","Bedwell R:Bedwell R"
"20",2017,2018,"Bedwell R","Tofino H","Smolt 0+","Bedwell R","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",18923,"Chinook","SWVI","185665","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31","Bedwell R:Bedwell R"
"21",2017,2018,"Bedwell R","Tofino H","Smolt 0+","Bedwell R","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",15507,"Chinook","SWVI","185666","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31","Bedwell R:Bedwell R"
"22",2017,2018,"Bedwell R","Tofino H","Smolt 0+","Bedwell R","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",890,"Chinook","SWVI","NOCN1778","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31","Bedwell R:Bedwell R"
"23",2018,2019,"Bedwell R","Tofino H","Smolt 0+","Bedwell R","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",17744,"Chinook","SWVI","185382","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31","Bedwell R:Bedwell R"
"24",2018,2019,"Bedwell R","Tofino H","Smolt 0+","Bedwell R","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",17308,"Chinook","SWVI","185383","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31","Bedwell R:Bedwell R"
"25",2018,2019,"Bedwell R","Tofino H","Smolt 0+","Bedwell R","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",5404,"Chinook","SWVI","185664","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31","Bedwell R:Bedwell R"
"26",2003,2004,"Big Qualicum R","Englishman River H","Smolt 0+","Englishman R","EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x","CK-27",222715,"Chinook","GSVI","NOCN0322","EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x","CK-27","Englishman R:Big Qualicum R"
"27",2004,2005,"Big Qualicum R","Englishman River H","Smolt 0+","Englishman R","EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x","CK-27",233715,"Chinook","GSVI","NOCN0493","EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x","CK-27","Englishman R:Big Qualicum R"
"28",2005,2006,"Big Qualicum R","Englishman River H","Smolt 0+","Englishman R","EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x","CK-27",226825,"Chinook","GSVI","NOCN0525","EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x","CK-27","Englishman R:Big Qualicum R"
"29",1986,1987,"Big Qualicum R","Oyster River H","Fed Fry","Oyster R","EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x","CK-27",35000,"Chinook","GSVI","NOCN8638","EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x","CK-27","Oyster R:Big Qualicum R"
"30",1986,1987,"Big Qualicum R","Oyster River H","Smolt 0+","Oyster R","EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x","CK-27",253000,"Chinook","GSVI","NOCN8639","EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x","CK-27","Oyster R:Big Qualicum R"
"31",1999,2000,"Big Qualicum R","Big Qualicum River H","Smolt 0+","Englishman R","EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x","CK-27",48059,"Chinook","GSVI","NOCN9959","EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x","CK-27","Englishman R:Big Qualicum R"
"32",1999,2000,"Big Qualicum R","Big Qualicum River H","Smolt 0+","Englishman R","EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x","CK-27",38688,"Chinook","GSVI","NOCN9960","EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x","CK-27","Englishman R:Big Qualicum R"
"33",1999,2000,"Big Qualicum R","Big Qualicum River H","Smolt 0+","Englishman R","EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x","CK-27",35351,"Chinook","GSVI","NOCN9961","EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x","CK-27","Englishman R:Big Qualicum R"
"34",2000,2001,"Big Qualicum R","Big Qualicum River H","Fed Fry","Englishman R","EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x","CK-27",49817,"Chinook","GSVI","NOCN0055","EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x","CK-27","Englishman R:Big Qualicum R"
"35",1981,1982,"Bulkley R","Bulkley River Inc","Smolt 0+","Bulkley R","UPPER BULKLEY RIVER","CK-55",352,"Chinook","SKNA","NOCN8118","UPPER BULKLEY RIVER","CK-55","Bulkley R:Bulkley R"
"36",1982,1983,"Bulkley R","Bulkley River Inc","Smolt 0+","Bulkley R","UPPER BULKLEY RIVER","CK-55",300,"Chinook","SKNA","NOCN8230","UPPER BULKLEY RIVER","CK-55","Bulkley R:Bulkley R"
"37",1981,1982,"Bulkley R","Emerson Creek H","Fed Fry","Bulkley R","UPPER BULKLEY RIVER","CK-55",39000,"Chinook","SKNA","NOCN8116","UPPER BULKLEY RIVER","CK-55","Bulkley R:Bulkley R"
"38",1982,1983,"Bulkley R","Emerson Creek H","Smolt 0+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",12500,"Chinook","SKNA","NOCN8228","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R"
"39",1983,1984,"Bulkley R","Emerson Creek H","Fed Fry","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",50000,"Chinook","SKNA","NOCN8325","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R"
"40",1985,1987,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",21721,"Chinook","SKNA","23913","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"41",1986,1988,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",10671,"Chinook","SKNA","24829","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"42",1986,1988,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",10684,"Chinook","SKNA","24830","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"43",1986,1988,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",10418,"Chinook","SKNA","24831","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"44",1986,1988,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",91846,"Chinook","SKNA","RV8648","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"45",1987,1989,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",10621,"Chinook","SKNA","24828","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"46",1987,1989,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",10624,"Chinook","SKNA","24833","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"47",1987,1989,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",10455,"Chinook","SKNA","24840","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"48",1987,1989,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",82395,"Chinook","SKNA","LV8743","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"49",1988,1990,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",34063,"Chinook","SKNA","26313","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"50",1988,1990,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",34070,"Chinook","SKNA","26314","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"51",1988,1990,"Bulkley R Up","Toboggan Creek H","Smolt 1+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",34039,"Chinook","SKNA","26315","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
"52",1989,1990,"Bulkley R Up","Toboggan Creek H","Smolt 0+","Bulkley R Up","UPPER BULKLEY RIVER","CK-55",35000,"Chinook","SKNA","RV8917","UPPER BULKLEY RIVER","CK-55","Bulkley R Up:Bulkley R Up"
