"","POP_ID","SPP","SYS_NM","faz_acro","maz_acro","CU_name","CU_findex","Area","IsIndicator","year","escapement"
"1",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1950,NA
"2",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1951,750
"3",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1952,1500
"4",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1953,770
"5",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1954,1500
"6",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1955,1500
"7",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1956,NA
"8",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1957,400
"9",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1958,200
"10",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1959,200
"11",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1960,200
"12",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1961,200
"13",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1962,200
"14",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1963,200
"15",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1964,160
"16",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1965,200
"17",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1966,100
"18",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1967,200
"19",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1968,250
"20",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1969,250
"21",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1970,750
"22",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1971,350
"23",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1972,100
"24",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1973,1000
"25",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1974,300
"26",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1975,1500
"27",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1976,500
"28",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1977,600
"29",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1978,750
"30",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1979,300
"31",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1980,710
"32",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1981,200
"33",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1982,800
"34",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1983,547
"35",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1984,598
"36",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1985,2061
"37",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1986,2234
"38",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1987,709
"39",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1988,279
"40",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1989,1200
"41",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1990,411
"42",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1991,399
"43",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1992,1424
"44",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1993,1594
"45",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1994,365
"46",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1995,1130
"47",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1996,1593
"48",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1997,505
"49",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1998,398
"50",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",1999,277
"51",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",2000,580
"52",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",2001,855
"53",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",2002,1417
"54",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",2003,1290
"55",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",2004,1083
"56",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",2005,174
"57",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",2006,573
"58",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",2007,79
"59",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",2008,463
"60",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",2009,60
"61",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",2010,334
"62",46196,"CN","COLDWATER RIVER","LTh","GStr","Lower Thompson_SP_1.2","CK-017","29F","Y",2011,259
