Production Year,Regional Area,Program Code,Project,Project Contact,Species,Run,Stock,Stock CU Index,Stock CU Name,Stock Stat Area,Objective,Production Strategy Level, Egg Target ,Production Activity Type,Release/ Transfer Stage,Release Site/ Transfer Project,Release/Transfer Facility,Release Stat Area,Release/ Transfer Target,Mark Type,Clip Type, Target # to Mark ,Target Status,Licence NOT Held By SEP,Comment,Data Status (SPA Internal)
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Bonaparte R,CK-17,LOWER THOMPSON_SP_1.2,29F, Conservation ,Primary,"60,000",Release,Fed Fry,Bonaparte R,,29F,50000,Parentage-based Tagging,N/A,"50,000",,,2019: Bonaparte identified as a stock of concern for which enhancement can serve as genetic preservation and possible stock rebuilding tool until limiting factors are identified and addressed through strategic rebuilding plans.,
2020,BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Sockeye,Summer,Bowron R,,,29I, Rebuilding ,Primary,"200,000",Release,Fed Fry,Bowron R,,29I,175000,Parentage-based Tagging,N/A,"175,000",,,2019 - NEW - This is a proposed feasibility pilot project in co-operation with UFFCA.  Small number (200K egg take).  Logictics and funding are being investigated.,
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G, Assessment ,Primary, -   ,Release,Fed Fry,Chilko R,,29G,50000,Coded Wire Tag,AD,"50,000",,,"2019: request from STAD for increased production of fry with smolt release remaining at 95K.  Egg target may be further increased to accommodate this, if facility space is available.",
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G, Assessment ,Primary, -   ,Release,Fed Fry,Chilko R,,29G,0,Parentage-based Tagging,N/A,"50,000",,,,
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,,Primary,"155,000",Transfer Out,Egg,Car-Chilc (Williams) Sch,,,300,,,,,,,
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,,Primary, -   ,Transfer Out,Fry,Chehalis R,,,50000,,,,,,"2019: Until Snootli Hatchery can accommodate Chilko rearing, Chilko smolts will be reared at Chehalis and Inch Hatcheries (50K at each).",
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,,Primary, -   ,Transfer Out,Fry,Inch Cr,,,50000,,,,,,"2019: Until Snootli Hatchery can accommodate Chilko rearing, Chilko smolts will be reared at Chehalis and Inch Hatcheries (50K at each).",
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Coldwater R,CO-7,LOWER THOMPSON,29F, Assessment ,Primary, -   ,Release,Fed Fry,Coldwater R,,29F,25000,Parentage-based Tagging,N/A,"25,000",,,This fry production line is not considered part of the primary release target and only represents the release fry in excess of smolt targets due higher than expected egg to fry survival or excess fry after disease screening.,
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Coldwater R,CO-7,LOWER THOMPSON,29F, Assessment ,Primary, -   ,Release,Smolt 1+,Coldwater R,,29F,65000,Coded Wire Tag,AD,"65,000",,,,
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Coldwater R,CO-7,LOWER THOMPSON,29F, Assessment ,Primary, -   ,Release,Smolt 1+,Coldwater R,,29F,0,Parentage-based Tagging,N/A,"65,000",,,,
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F, Rebuilding ,Primary,"95,000",Release,Fed Fry,Coldwater R,,29F,30000,Parentage-based Tagging,N/A,"30,000",,,This fry production line is not considered part of the primary release target and only represents the release fry in excess of smolt targets due higher than expected egg to fry survival or excess fry after disease screening.,
2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F, Rebuilding ,Primary, -   ,Release,Fed Fry,Coldwater R,,29F,0,Thermal,N/A,"30,000",,,,
