,Production Year,Regional Area,Program Code,Project,Project Contact,Species,Run,Stock,Stock CU Index,Stock CU Name,Stock Stat Area,Objective,Production Strategy Level,Egg Target,Production Activity Type,Release/ Transfer Stage,Release Site/ Transfer Project,Release/Transfer Facility,Release Stat Area,Release/ Transfer Target,Mark Type,Clip Type,Target # to Mark,Target Status,Licence NOT Held By SEP,Comment,Data Status (SPA Internal)
1,2017,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,Assessment/Rebuilding,Primary,-,Release,Fed Fry,Chilko R,,29G,50000,Coded Wire Tag,AD,50000,,,This production line reflects a contigency release of healthy fry after disease screening.  2017 -  StAD will risk manage the tagging of the fry release group.,
2,2016,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,Assessment/Rebuilding,Primary,-,Release,Fed Fry,Chilko R,,29G,50000,,,,,,Excess eggs are taken to ensure smolt target will be met in the event disease screening requires culling; this production line reflects that healthy fry that are surplus to the smolt target that will be released.  2016 -  StAD will risk manage the tagging of the fry release group.,
3,2015,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER-SUMMER TIMING,29G,Assessment/Rebuilding,Primary,-,Release,Fed Fry,Chilko R,,29G,50000,Thermal,N/A,150000,,,Excess eggs are taken to ensure smolt target will be met in the event disease screening requires culling; this production line reflects that healthy fry that are surplus to the smolt target that will be released.,
4,2014,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER-SUMMER TIMING,29G,Assessment/Rebuilding,Primary,-,Release,Fed Fry,Chilko R,,29G,50000,Thermal,N/A,150000,,,Excess eggs are taken to ensure smolt target will be met in the event disease screening requires culling; this production line reflects that healthy fry that are surplus to the smolt target that will be released.,
5,2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F,Rebuilding,Primary,"95,000",Release,Fed Fry,Coldwater R,,29F,30000,Parentage-based Tagging,N/A,"30,000",,,This fry production line is not considered part of the primary release target and only represents the release fry in excess of smolt targets due higher than expected egg to fry survival or excess fry after disease screening.,
6,2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F,Rebuilding,Primary,-,Release,Fed Fry,Coldwater R,,29F,0,Thermal,N/A,"30,000",,,,
7,2021,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F,Rebuilding,Primary,95000,Release,Fed Fry,Coldwater R,Spius Creek H,29F,30000,Parentage-based Tagging,N/A,30000,,,This fry production line is not considered part of the primary release target and only represents the release fry in excess of smolt targets due higher than expected egg to fry survival or excess fry after disease screening.,Preliminary
8,2021,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F,Rebuilding,Primary,0,Release,Fed Fry,Coldwater R,Spius Creek H,29F,0,Thermal,N/A,30000,,,,Preliminary
9,2019,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F,Rebuilding,Primary,"95,000",Release,Fed Fry,Coldwater R,,29F,"30,000",Thermal,N/A,"30,000",,,This fry production line is not considered part of the primary release target and only represents the release fry in excess of smolt targets due higher than expected egg to fry survival or excess fry after disease screening.,
10,2018,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F,Rebuilding,Primary,95000,Release,Fed Fry,Coldwater R,,29F,30000,Thermal,N/A,30000,,,This fry production line is not considered part of the primary release target and only represents the release fry in excess of smolt targets due higher than expected egg to fry survival or excess fry after disease screening.,
11,2017,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F,Rebuilding,Primary,95000,Release,Fed Fry,Coldwater R,,29F,30000,Thermal,N/A,30000,,,This production line reflects a contigency plan for release of healthy fry after disease screening.,
12,2016,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F,Rebuilding,Primary,95000,Release,Fed Fry,Coldwater R,,29F,30000,,,,,,Excess eggs are taken to ensure smolt target will be met in the event disease screening requires culling; this production line reflects that healthy fry that are surplus to the smolt target that will be released.,
13,2015,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON-SPRING TIMING-AGE 1.2,29F,Rebuilding,Primary,100000,Release,Fed Fry,Coldwater R,,29F,30000,,,,,,Excess eggs are taken to ensure smolt target will be met in the event disease screening requires culling; this production line reflects that healthy fry that are surplus to the smolt target that will be released.,
14,2014,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON-SPRING TIMING-AGE 1.2,29F,Rebuilding,Primary,100000,Release,Fed Fry,Coldwater R,,29F,30000,,,,,,Excess eggs are taken to ensure smolt target will be met in the event disease screening requires culling; this production line reflects that healthy fry that are surplus to the smolt target that will be released.,
15,2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F,Rebuilding,Primary,-,Release,Smolt 1+,Coldwater R,,29F,55000,Parentage-based Tagging,N/A,"55,000",,,,
16,2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F,Rebuilding,Primary,-,Release,Smolt 1+,Coldwater R,,29F,0,Thermal,N/A,"55,000",,,,
17,2021,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F,Rebuilding,Primary,0,Release,Smolt 1+,Coldwater R,Spius Creek H,29F,55000,Parentage-based Tagging,N/A,55000,,,,Preliminary
18,2021,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F,Rebuilding,Primary,0,Release,Smolt 1+,Coldwater R,Spius Creek H,29F,0,Thermal,N/A,55000,,,,Preliminary
19,2019,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F,Rebuilding,Primary,-,Release,Smolt 1+,Coldwater R,,29F,"55,000",Thermal,N/A,"55,000",,,,
20,2018,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F,Rebuilding,Primary,-,Release,Smolt 1+,Coldwater R,,29F,55000,Thermal,N/A,55000,,,,
21,2017,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F,Rebuilding,Primary,-,Release,Smolt 1+,Coldwater R,,29F,55000,Thermal,N/A,55000,,,,
22,2016,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F,Rebuilding,Primary,-,Release,Smolt 1+,Coldwater R,,29F,55000,Thermal,N/A,55000,,,"2016: Either Spius or Coldwater Chinook willl have a portion (2/3) of their releases be fed fry, for the purpose of freeing up CN smolt space for StAD indicator target (Nicola CN) Also, veteranarian guidance limits # of CN smolts in LCR to 55K thus lowering target (from 65K to 55K).",
23,2015,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON-SPRING TIMING-AGE 1.2,29F,Rebuilding,Primary,-,Release,Smolt 1+,Coldwater R,,29F,65000,Thermal,N/A,65000,,,,
24,2014,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON-SPRING TIMING-AGE 1.2,29F,Rebuilding,Primary,-,Release,Smolt 1+,Coldwater R,,29F,65000,Thermal,N/A,65000,,,2014 brood will be thermal marked for assessment of enhanced contribution in river return.,
25,2021,BC Interior,PIP,Spruce C Wldlf Ass,"CA - Central Interior, N of 100 Mile & northeastern BC",Chinook,Summer,Nechako R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29I,Rebuilding,Primary,30000,Release,Fed Fry,Nechako R,Salmon River/ UPFR H,29I,28000,Parentage-based Tagging,N/A,28000,,,,Preliminary
26,2016,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON_SP_1.2,29F,Assessment/Rebuilding,Primary,260000,Release,Fed Fry,Nicola R,,29F,50000,Parentage-based Tagging,N/A,50000,,,Excess eggs are taken to ensure smolt target will be met in the event disease screening requires culling; this production line reflects that healthy fry that are surplus to the smolt target that will be released.,
27,2015,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON-SPRING TIMING-AGE 1.2,29F,Assessment/Rebuilding,Primary,260000,Release,Fed Fry,Nicola R,,29F,50000,,,,,,Excess eggs are taken to ensure smolt target will be met in the event disease screening requires culling; this production line reflects that healthy fry that are surplus to the smolt target that will be released.,
28,2014,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON-SPRING TIMING-AGE 1.2,29F,Assessment/Rebuilding,Primary,260000,Release,Fed Fry,Nicola R,,29F,50000,,,,,,Excess eggs are taken to ensure smolt target will be met in the event disease screening requires culling; this production line reflects that healthy fry that are surplus to the smolt target that will be released.,
29,2018,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON_SP_1.2,29F,Assessment/Rebuilding,Primary,-,Release,Smolt 1+,Nicola R,,29F,200000,Coded Wire Tag,AD,200000,,,,
30,2018,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON_SP_1.2,29F,Assessment/Rebuilding,Primary,-,Release,Smolt 1+,Nicola R,,29F,-,Parentage-based Tagging,N/A,200000,,,,
31,2017,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON_SP_1.2,29F,Assessment/Rebuilding,Primary,-,Release,Smolt 1+,Nicola R,,29F,200000,Coded Wire Tag,AD,200000,,,,
32,2017,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON_SP_1.2,29F,Assessment/Rebuilding,Primary,-,Release,Smolt 1+,Nicola R,,29F,-,Parentage-based Tagging,N/A,200000,,,,
33,2016,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON_SP_1.2,29F,Assessment/Rebuilding,Primary,-,Release,Smolt 1+,Nicola R,,29F,200000,Coded Wire Tag,AD,200000,,,"2016: either Spius or Coldwater Chinook willl have a portion (2/3) of their releases be fed fry, for the purpose of freeing up CN smolt space for StAD indicator target (Nicola CN).",
34,2016,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON_SP_1.2,29F,Assessment/Rebuilding,Primary,-,Release,Smolt 1+,Nicola R,,29F,-,Parentage-based Tagging,N/A,200000,,,,
35,2015,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON-SPRING TIMING-AGE 1.2,29F,Assessment/Rebuilding,Primary,-,Release,Smolt 1+,Nicola R,,29F,200000,Coded Wire Tag,AD,200000,,,,
36,2014,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON-SPRING TIMING-AGE 1.2,29F,Assessment/Rebuilding,Primary,-,Release,Smolt 1+,Nicola R,,29F,200000,Coded Wire Tag,AD,200000,,,,
37,2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Salmon R/TOMF,CK-14,SOUTH THOMPSON_SU_1.3,29K,Rebuilding,Primary,-,Release,Fed Fry,Salmon R/TOMF,,29K,70000,Parentage-based Tagging,N/A,"70,000",,,,
38,2020,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Salmon R/TOMF,CK-14,SOUTH THOMPSON_SU_1.3,29K,Rebuilding,Primary,"80,000",Release,Fed Fry,Salmon R/TOMF,,29K,0,Thermal,N/A,"70,000",,,,
39,2021,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Salmon R/TOMF,CK-14,SOUTH THOMPSON_SU_1.3,29K,Rebuilding,Primary,80000,Release,Fed Fry,Salmon R/TOMF,Spius Creek H,29K,70000,Parentage-based Tagging,N/A,70000,,,,Preliminary
40,2021,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Salmon R/TOMF,CK-14,SOUTH THOMPSON_SU_1.3,29K,Rebuilding,Primary,0,Release,Fed Fry,Salmon R/TOMF,Spius Creek H,29K,0,Thermal,N/A,70000,,,,Preliminary
41,2019,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Salmon R/TOMF,CK-14,SOUTH THOMPSON_SU_1.3,29K,Rebuilding,Primary,"80,000",Release,Fed Fry,Salmon R/TOMF,,29K,"70,000",Thermal,N/A,"70,000",,,,
42,2018,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Salmon R/TOMF,CK-14,SOUTH THOMPSON_SU_1.3,29K,Rebuilding,Primary,80000,Release,Fed Fry,Salmon R/TOMF,,29K,70000,Thermal,N/A,70000,,,,
43,2017,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Salmon R/TOMF,CK-14,SOUTH THOMPSON_SU_1.3,29K,Rebuilding,Primary,80000,Release,Fed Fry,Salmon R/TOMF,,29K,70000,Thermal,N/A,70000,,,,
44,2016,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Salmon R/TOMF,CK-14,SOUTH THOMPSON_SU_1.3,29K,Rebuilding,Primary,80000,Release,Fed Fry,Salmon R/TOMF,,29K,70000,Thermal,N/A,70000,,,,
45,2015,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Salmon R/TOMF,CK-14,SOUTH THOMPSON-SUMMER TIMING-AGE 1.3,29K,Rebuilding,Primary,80000,Release,Fed Fry,Salmon R/TOMF,,29K,70000,Thermal,N/A,70000,,,,
46,2014,BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Salmon R/TOMF,CK-14,SOUTH THOMPSON-SUMMER TIMING-AGE 1.3,29K,Rebuilding,Primary,80000,Release,Fed Fry,Salmon R/TOMF,,29K,70000,Thermal,N/A,70000,,,,
47,2018,BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Middle,CK-15,SHUSWAP RIVER_SU_0.3,29K,Rebuilding,Primary,-,Release,Smolt 1+,Shuswap R Middle,,29K,-,Coded Wire Tag,AD,-,,,"Yearling production is a lower priority than subyearling target and will only proceed if subyearling target is met. This is an experimental release to assess the success of this yearling strategy.  2018: the yearling strategy was put on hold for the 2017 brood. After discussion in 2017, StAD and SEP agreed that more adult data is needed from the four brood years (2013-16).",
48,2018,BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Middle,CK-15,SHUSWAP RIVER_SU_0.3,29K,Rebuilding,Primary,-,Release,Smolt 1+,Shuswap R Middle,,29K,-,Parentage-based Tagging,N/A,-,,,,
49,2017,BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Middle,CK-15,SHUSWAP RIVER_SU_0.3,29K,Rebuilding,Primary,-,Release,Smolt 1+,Shuswap R Middle,,29K,20000,Coded Wire Tag,AD,20000,,,"Yearling production is a lower priority than subyearling target and will only proceed if subyearling target is met. This is an experimental release to assess the success of this yearling strategy.  2017 - Stad intially committed to tagging this group but upon review during production plan finalization, decision made that SEP will fund tagging.",
50,2017,BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Middle,CK-15,SHUSWAP RIVER_SU_0.3,29K,Rebuilding,Primary,-,Release,Smolt 1+,Shuswap R Middle,,29K,-,Parentage-based Tagging,N/A,20000,,,,
51,2016,BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Middle,CK-15,SHUSWAP RIVER_SU_0.3,29K,Rebuilding,Primary,-,Release,Smolt 1+,Shuswap R Middle,,29K,20000,Coded Wire Tag,AD,20000,,,Yearling production is a lower priority than subyearling target and will only proceed if subyearling target is met. SEP rearing strategy assessment.  2016 - SEP to risk manage the funding for tagging this group.,
52,2016,BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Middle,CK-15,SHUSWAP RIVER_SU_0.3,29K,Rebuilding,Primary,-,Release,Smolt 1+,Shuswap R Middle,,29K,-,Parentage-based Tagging,N/A,20000,,,,
53,2015,BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Middle,CK-15,SHUSWAP RIVER-SUMMER TIMING-AGE 0.3,29K,Rebuilding,Primary,-,Release,Smolt 1+,Shuswap R Middle,,29K,20000,Coded Wire Tag,AD,20000,,,Experimental yearling smolt release group will be coded wire tagged to assess relative survival and maturation rates against traditional subyearling release. Recent review of scale data indicates there is a small yearling component  that occurs naturally.Yearling production is a lower priority than subyearling target and will only proceed if subyearling target is met.,
